tweet_id,user,text,label,reply_to_tweet,reply_to_user
580334624657768448,TDuman06,@BBCBreaking terrifying news .pray for their relatives,rumor,580333763512705025,BBCBreaking
580336294066196480,faratuhraaadj,“@ANCALERTS: BREAKING: Germanwings Airbus A320 crashes in French Alps | via @BBCBreaking” :(,rumor,580320563891019776,ANCALERTS
580321047104356353,daveoflynn,"@AlexeyIvakhov @flightradar24 That's mountain country, with plenty of peaks over 2000m (6500ft).",rumor,580320304897064960,AlexeyIvakhov
580359296925483008,PikkuIitu,@guardian So they DID send a mayday call?! #RIP #4U9525,rumor,580356429615337472,guardian
580334564796678144,chelsea_brown91,@SkyNews so horrible 😔...,non-rumor,580331071457333248,SkyNews
581287771823742976,SharmadineshS,@DrShobha this is matter for investigation and Indian Govt. must do it too,rumor,581287562947395584,DrShobha
580701244957802496,ALPERERDN,@AP plus 1 Turkish citizen..,rumor,580697361799876608,AP
580449711825547264,ShawMcIver,"@DailyMirror This is horrendous sensationalism with no basis in fact, and clearly impossible given the nature of the crash. Shameful.",rumor,580387098039046145,DailyMirror
580355037504909312,Joe_OLeary,"My thoughts, prayers, and deepest condolences go out to the passengers and families of flight #4U9525 http://t.co/piNxBaQc5F",non-rumor,,
580366221025087488,LeTrina_,“@BBCBreaking: Photos show emergency services in French Alps after #Germanwings crash  http://t.co/YLxX8oEbWE http://t.co/5nxiXCkOSp”,non-rumor,580365989780520960,BBCBreaking
580337009731883008,awdnewsgerman,"@VibeTickets BREAKING - Germanwings plane crashes in France, up to 150 believed dead http://t.co/HWyOPGobie",non-rumor,580336394184323072,VibeTickets
581472911397122048,DanOClunaigh,@Zone6Combat The 'Andreas Lubitz Fans' page was set up by some brainless fool of the other variety or an agent provocateur. It's not his.,rumor,581470996437274624,Zone6Combat
581278172936699904,saadbjohan,@zulazry  Not to worry... Western media will try to find out if his grandma's godfather's daughter's in-laws were Yemenis.,rumor,581274406804025344,zulazry
580371851953741824,IancuLuz,"@Lufthansa_DE @Tamara_Gorro los alemanes ponen num telf gratis llamadas, espanoles 902 ke verguenza",non-rumor,580351367719591936,Lufthansa_DE
580320579007430656,GreenAlex_,@flightradar24 Well shit.,rumor,580320267777511425,flightradar24
581259757476028417,BaksidenavAP,@NBCNews Have you forgot 9.11 allready?,non-rumor,581259253429702656,NBCNews
580321402466762752,nottheedge,@flightradar24 any news about #4U9525?,rumor,580320267777511425,flightradar24
580327884595793920,tugberkdmn,@Seat24Charlie @9VSKA @planefinder  Can some one explains what vertebrate of -14 means?,rumor,580324050628661248,Seat24Charlie
580356803566895104,janetbruce,@airlivenet @Aviaponcho,non-rumor,580351083383517185,airlivenet
580331705250136064,rusty044,@foxandfriends &amp; this is why I do not fly,non-rumor,580330441854435328,foxandfriends
581827496909377537,muthakufr,@Zacardo @cnni where have i done that? ur  as dumb as those who insist he is musilm. making stuff up,rumor,581827213877628928,Zacardo
581906519031185408,Innenwelttramp,@parkman_sandi There are Nazi labels (NPD) on this site. A known German neonazi is behind this fake. @RavenHUWolf http://t.co/SMb57v8xaE,rumor,581291674921488384,parkman_sandi
581548425038073856,JohnnyUtah27,"@CedarStArt @RWSurferGirl @anyclinic Hah so very true!   Literally the first word out about the plane crash ""Not terrorism"".  Time will tell",rumor,581547932580614144,CedarStArt
581447611745435648,spiransky,@DrMartyFox what da FUCK is that ??? @recedam1 @abd_charlie @AbouDjaffar @An0n1214 are y serious ???,rumor,581404604677660673,DrMartyFox
580887851992133633,sevodreams,@WIRED sounds like the pilot may have had a stroke/MI?,rumor,580882121222434816,WIRED
580338989984530432,iKipkoech,"@AJENews @lufthansa @Airbus @ECiotti @germanwings Another air crash, my fear of planes #real #DeepThoughts to friends, families, States",non-rumor,580338392782757888,AJENews
581620131349938176,cheydakjo,@CajunJarhead @SonofLiberty357 @Psysamurai33317 @gatewaypundit and spent time at mosque in Bremen,rumor,581289105994043392,CajunJarhead
580333487636553728,scarredeye,@flightradar24 looks like #Airbus computer problem like #LH1829 few month ago,non-rumor,580332451353985025,flightradar24
581395607841034241,Bokfinken4,"@USATODAY St.Clause:Harder psycological pilottest,and changing of cabindoor-electronik is necessary immidately!",rumor,581394092648710144,USATODAY
580328029852856320,foxandfriends,"FOX NEWS ALERT: Germanwings Airbus A320 was 24 years old, traveling from Barcelona to Dusseldorf http://t.co/OvBETeYbMt",non-rumor,,
581262611909488640,azguero,@AC360 @CNN I don't think they're rescuers at this point,non-rumor,581260171688718336,AC360
580341602444550144,JudithShamian,@CNN lets hope it is not a terrorist act.  I feel for the families and for the people of France,non-rumor,580339310299340800,CNN
581068888760283136,morganefitz,@LordAtters @SkyNewsBreak true,rumor,581066434635268096,LordAtters
580342548394352640,doe_saturn75,@foxandfriends @VLM_va  Nothing New just rumors at this moment.,rumor,580340476949086208,foxandfriends
580336622811500545,BeatsAustralia,@BBCBreaking RIP,rumor,580333763512705025,BBCBreaking
580323932911362048,jedwards130,@KellyNBC6 @TODAYshow RIP,rumor,580323717210836992,KellyNBC6
581372847651618816,omniabarakat,@adalbertoscaio #GermanWingsCrash Suicide depression is lonileness helplesness &amp; the final surrender to death not hatred &amp;mass murder!,rumor,581365516985581568,adalbertoscaio
580390001311162368,Britt_tastic,"Shocking news :( RT@BreakingNews: Germanwings statement:Flight 4U9525 crashed @11:20; 144 passengers, 6 crew on board http://t.co/twxUA0luXU",rumor,580346992074842112,BreakingNews
580367668378669057,mrdotson6060,@aaronbustillos @cnnbrk I'm finna hold a protest soon in front of ihop soon to warn my people not support ihop due to racial discrimination,non-rumor,580366471336828932,aaronbustillos
581365516985581568,adalbertoscaio,"@omniabarakat @Reuters This is the desgrace of our modern times, only money money money, I feel a shame on the mass media!",rumor,581364700887175168,omniabarakat
580349875851784192,BBCBreaking,"Victims of #Germanwings crash were most likely from Spain, Germany &amp; Turkey, says French President Hollande http://t.co/teojxJoBMX",rumor,580348081100734464,BBCBreaking
580333920891330560,JQuerton,@planefinder @Missilito Its too far away from the crash site,non-rumor,580330560331091968,planefinder
580332255693942784,MaxFosterCNN,"French PM: France has been plunged into a deep sadness... compassion, solidarity with all victims' families #Germanwings",non-rumor,,
581062604988162048,TerryMoran,"The copilot of the Germanwings plans, Andreas Guenter Lubitz, appeared to want to ""destroy the plane,"" French prosecutor says.",rumor,,
580342295247060992,Steve_Gwen,@JulieB_LFC those poor people.,rumor,580335905191366656,JulieB_LFC
581480349143842816,davidf4444,@weisssusie thanks  @ThePatriot143,rumor,581474327205281792,weisssusie
580335076413693953,RaimondasB,"@RT_com as usual in next 20 minutes RT will show accident report, on by hand painted scheme.",non-rumor,580334199187644416,RT_com
580324490447622145,JackDarton1,"@drl @flightradar24 was about to say that... 6,800 feet above Alps..",rumor,580320825607385089,drl
580320921879089152,flavsanchez78,@SaraTimes,rumor,580320825351471104,SaraTimes
580350426278719488,lufthansa,We must confirm to our deepest regret that Germanwings Flight 4U 9525 from Barcelona to Düsseldorf has suffered an accident over the 1/5,rumor,,
580328297478823936,joti77,"Breaking News RT: @Reuters: Germanwings plane crashes in France, up to 150 feared dead http://t.co/5yhGpEhzb3",rumor,580327336505176064,Reuters
580366386385522688,Daily_Sparkles,@BBCBreaking No plane?,non-rumor,580365989780520960,BBCBreaking
581254050953334784,atelier186,@NewsHour @milesobrien @michikokakutani (I assume pilot’s online activity is being gone over w/fine tooth comb. A bit like human black box.),non-rumor,581253085508534272,NewsHour
580394605583163393,JuergenMeyer2,"@RT_com @flightradar24 ""Ich dachte es wären wie so oft hier Kampfjets http://t.co/83ghI9xHbi",rumor,580322066374721537,RT_com
580327384257294336,bethany_elle,"“@BBCBreaking: Likely there'll be ""no survivors"" in #Germanwings crash, French President Hollande says."" France are having a very bad year",non-rumor,580326978546495488,BBCBreaking
580331977158574080,JimboBohan,@marshall_mcf @zeidlos @CalumJamesSmith something caused him to descend.,non-rumor,580330532355108864,marshall_mcf
580351044812713984,Mogul_Mentality,"“@CNN: No survivors are expected from the Airbus A320 crash, the French President says. http://t.co/eCCQKg8tOo http://t.co/HVf6O8fQYy”",non-rumor,580339310299340800,CNN
580320698901643264,alex__anderson,“@flightradar24: Last position of Germanwings flight #4U9525 at 09:40 UTC http://t.co/BEml4hghRs http://t.co/VRBpiRDsZB”  Not good :(,rumor,580320612155060224,flightradar24
581461165370298368,RoRoscoe,@Zone6Combat Noooooooooooooooo. Who would have EVER thought.,rumor,581460720900050945,Zone6Combat
580343773403725825,Southwest125,@atclew58 @NYCAviation this is the best conversation about the aircraft accident I have seen all morning. Thanks for sharing it!,rumor,580342018376884224,atclew58
580373537824755712,lcubillasc,“@AP: BREAKING: Germanwings CEO: plane went into 8-minute descent before crashing.”/@DaniboyR @ramonhcastro,rumor,580371847335821312,AP
580351362057277440,jduch,RT “@EP_President: All my thoughts with passenger's and crew's families at this difficult moment #Germanwings”,non-rumor,580333946271113216,EP_President
580359405620858880,ReutersLive,Follow our LIVE coverage of the #Germanwings flight 4U 9525 crash in France: http://t.co/QDmrXB1v6I http://t.co/pgwTvW4fzb,non-rumor,,
581260389545041920,terrisanislo,"@RedNationRising @emaleroland The deliberateness is being determined from experts' reports of how the controls had to be set, not from DVR.",rumor,581259397252284416,RedNationRising
580364934011334656,TIME,"Germanwings Airbus A320 climbed to 38,000 feet before starting to descend and lose signal http://t.co/4xRU5mICvz",non-rumor,,
580343913728352257,Buddy743,@foxandfriends This is a tragedy but why does a foreign airline in a foreign country have to totally co-opt all news?,rumor,580340476949086208,foxandfriends
580332791063248896,sdonline,@BBCWorld @BBCNews Was going to watch the coverage on BBC News until I saw that idiot Australian was 'helping' the presentation.,non-rumor,580330591826128896,BBCWorld
580355930648387586,harlleemom,"@CNN if you look at Google Earth, they may have been trying to land at Barcelonnette (26 degree heading) from Digne.",non-rumor,580351604831846400,CNN
580341661387096064,EsraCeceli,😔 “@SkyNewsAust: #WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within 3 minutes http://t.co/jN6kUVxXoJ,rumor,580338165824667649,SkyNewsAust
580343159781232640,tuggysts11,@JulieB_LFC They'll no doubt find the black box and hopefully find out the cause.....,rumor,580342747346964480,JulieB_LFC
581380076144488448,BeddounIssm,@businessinsider Un-Islamic-Terrorist ? ? ? ? ? ? Jeudo-Christian Terrorist ? ? ? ? ? Athiest-Terrorist ? ? ? ? ?  Secular-Terrorist ? ? ?,rumor,581377529124130816,businessinsider
580357779296280576,Saggitair,@chrisaddison67 @BBCBreaking @flightradar24 Apparently some other news station has questioned whether its normal to fly over mountains! HELP,non-rumor,580355624267071488,chrisaddison67
581303474845007872,Ron_Shegda,"@slone If this is true, how did he get through intense surveillance.",rumor,581302544116379648,slone
581353905260498944,BeNaums,"@sanitizer911 @riwired @bean3ie haha no of course not, but the converts are think they have to prove them self, that's why",rumor,581346625429213184,sanitizer911
580321677080334336,sowdented,@abcnews not good!!!!!,rumor,580320945740480512,abcnews
581822105307652096,dev_m_4u,@decosunil @narendramodi Just free advice. Leno he to le. Or else go to hell.,non-rumor,581821791405879296,dev_m_4u
580364955326763008,Dakeb_MCFC,"@SkyNewsBreak that changes things if true. Explosive decompression, unconscious crew?",rumor,580364656608428032,SkyNewsBreak
580321966248185856,sunny22457,@NBCNews very sad condolences,rumor,580320745974288384,NBCNews
581380854875820032,AyatBak,@twita_to @ashwinkr88 http://t.co/TwaOXbqWhr,rumor,581379762360229888,twita_to
581295807346900992,ShamNaarai,"@daxtonbrown @AnewTrackrecord If TRUE, then we are late in taking conscience of the magnitude of evil brooding upon the civilised world.",rumor,581293286268129280,daxtonbrown
580358416478167040,PascalSyn,"@damienramage @airlivenet Plus they stayed more or less constant speed, which means they reduced throttle, so they were in control #u4u9525",rumor,580356712521187329,damienramage
580323060533764097,TODAYshow,Germanwings passenger plane crashes in France: http://t.co/BSJhGgMChG,rumor,,
581420977164173312,krishnansram,@AyatBak great. We would be better off without these morons who hates everything unislamic. Have a http://t.co/xfTxD8r4nK Ayat. Be safe.,rumor,581418824752332800,AyatBak
580372759898898432,pschriner,"@flightradar24 Is there no system in place that automatically detects flight path anomalies? This drop in altitude was not a ""sudden"" event?",non-rumor,580364493928181760,flightradar24
581379762360229888,twita_to,@AyatBak @ashwinkr88 bullshit ayat you are lier and your smelling disgusting you are not cleaning yourself daily😷😷😷your drinking and loser,rumor,581373626735144960,AyatBak
580320800600887296,_RobertoMartin,RT “@flightradar24: Germanwings flight #4U9525 was lost from Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/TIqurqkMlZ”,rumor,580319999887347712,flightradar24
580656246207963136,davejsteele,"@JacketNation @MailOnline @jcrew756 any good pilot would tell you that aint ""plunging"". Such sad news RIP :( http://t.co/guJJE3HN0k",rumor,580373270207291394,JacketNation
580329886532968448,ThisIsGaZa,Passenger plane carrying 148 people crashes in the French Alps en route from Spain to Germany. #Germanwings,rumor,,
580358645763952640,Saggitair,@chrisaddison67 @BBCBreaking @flightradar24 Don't let the facts get in the way of a top news story...,non-rumor,580358078350143488,chrisaddison67
581068638058389505,crashpilotin,"@Wolkenmeister @RalphMahlo Wenn das alles wirklich so ist, wie man derzeit glaubt, hätte ich ihm einen Strick gegeben.",rumor,581068255449714688,Wolkenmeister
581291674921488384,parkman_sandi,@RavenHUWolf these I found on ISIS account. . http://t.co/yIsKMFW1AN,rumor,581290257758334976,RavenHUWolf
580894788205019136,NCLEXprof,@ChrisCuomo @Thekingindeed safe,rumor,580892610941837312,ChrisCuomo
580337503804243968,claireoceans,@CharlieKing85 seems to be a very unlucky couple of years for planes. these poor families 😔,non-rumor,580337178506584064,CharlieKing85
580331126344019968,Gaga_In_Fla,@foxandfriends Why are you filling the morning with SPECULATION about the Airbus? Can we wait till you get some NEWS?,non-rumor,580330441854435328,foxandfriends
580369624958636032,PollyR_Aviation,@jwparkin @airlivenet Squawk (7700) was declared.,rumor,580369289699573760,jwparkin
580353272382390272,MsSara881R,@AnnaLeno1R am 4. April. Freu mich so :) wobei es letztendlich wirklich toll hier war.  Zu Hause ist es aber am schönsten ♥,non-rumor,580353017632931840,AnnaLeno1R
